time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1753962882642000000,1.794999755859375,45,1.5,11.929466247558594,36.75699996948242,0,0,182.70001220703125,37.6643246,55.6488643
1753962883636000000,2.789,58.400001525878906,2.5999999046325684,11.939406394958496,21.878000259399414,1.384631872177124,308.04345703125,182.70001220703125,37.6651704,55.6489372
1753962885008000000,4.161,67.30000305175781,1.899999976158142,11.953125953674316,16.25200080871582,1.0902290344238281,311.2029113769531,182.70001220703125,37.665286,55.6488989
1753962886008000000,5.161,93.5999984741211,1.399999976158142,11.963126182556152,12.96399974822998,0.5676119923591614,303.1226806640625,182.70001220703125,37.6652719,55.6489008
1753962887008000000,6.161,104.19999694824219,1,11.973126411437988,10.871000289916992,0.34591981768608093,301.9004211425781,182.70001220703125,37.6652311,55.6489118
1753962888008000000,7.161,179.89999389648438,0.699999988079071,11.983126640319824,3.9600000381469727,0.14398092031478882,301.90631103515625,182.70001220703125,37.6652126,55.6489162
1753962888331000000,7.484,179.89999389648438,0.699999988079071,6.949268341064453,3.6659998893737793,0.1426151990890503,301.9951477050781,182.8000030517578,37.6652106,55.6489166
1753962889008000000,8.161,0,0.6000000238418579,6.956038475036621,2.8499999046325684,0.054595306515693665,0,182.8000030517578,37.665198,55.648922
1753962890008000000,9.161,179.89999389648438,0.6000000238418579,6.966038227081299,2.7279999256134033,0.10274055600166321,302.02069091796875,182.8000030517578,37.665187,55.6489273
1753962891008000000,10.161,95.0999984741211,0.6000000238418579,6.976038455963135,2.2850000858306885,0.2371523529291153,302.021484375,182.8000030517578,37.6651781,55.6489282
1753962892008000000,11.161,128.6999969482422,0.6000000238418579,6.9860382080078125,2.114000082015991,0.1671062409877777,301.98052978515625,182.8000030517578,37.6651736,55.6489271
1753962893008000000,12.161,0,0.6000000238418579,6.996038436889648,2.0280001163482666,0.01705065928399563,0,182.8000030517578,37.665166,55.6489269
1753962893491000000,12.644,0,0.6000000238418579,7.524932384490967,1.9500000476837158,0.016477299854159355,0,182.8000030517578,37.6651652,55.6489268
1753962894008000000,13.161,0,0.5,7.530102252960205,1.9279999732971191,0.031842563301324844,0,182.8000030517578,37.6651575,55.6489267
1753962895008000000,14.161,0,0.6000000238418579,7.540102481842041,1.8849999904632568,0.020112279802560806,0,182.8000030517578,37.6651511,55.6489267
1753962896008000000,15.161,0,0.6000000238418579,7.550102233886719,1.8420000076293945,0.04777903854846954,0,182.8000030517578,37.6651431,55.648928
1753962896508000000,15.661,179.89999389648438,0.5,7.555102348327637,1.8140000104904175,0.10395819693803787,296.9237365722656,182.8000030517578,37.6651344,55.6489308
1753962897008000000,16.161,108.30000305175781,0.5,7.560102462768555,1.7999999523162842,0.1878250539302826,308.96759033203125,182.8000030517578,37.6651284,55.648934
1753962897508000000,16.661,129.8000030517578,0.5,7.565102577209473,1.7619999647140503,0.15309955179691315,304.0260925292969,182.8000030517578,37.6651218,55.6489349
1753962898008000000,17.161,165.8000030517578,0.5,7.570102214813232,1.74399995803833,0.11811372637748718,304.97894287109375,182.8000030517578,37.6651177,55.6489363
1753962898350000000,17.503000244140626,165.8000030517578,0.5,7.373135089874268,1.7109999656677246,0.11787444353103638,304.99957275390625,182.10000610351562,37.6651169,55.6489367
1753962899008000000,18.161,179.89999389648438,0.6000000238418579,7.3797149658203125,1.6770000457763672,0.1147446259856224,321.8892517089844,182.10000610351562,37.6651152,55.6489368
1753962900008000000,19.161,0,0.6000000238418579,7.389715194702148,1.6549999713897705,0.08913522958755493,0,182.10000610351562,37.6651106,55.6489382
1753962901008000000,20.161,0,0.6000000238418579,7.399714946746826,1.6440000534057617,0.07262125611305237,0,182.10000610351562,37.6651072,55.6489398
1753962902008000000,21.161,0,0.6000000238418579,7.409715175628662,1.6369999647140503,0.09753888845443726,0,182.10000610351562,37.6651067,55.6489401
1753962903008000000,22.161,179.89999389648438,0.699999988079071,7.41971492767334,1.6419999599456787,0.10293440520763397,300.9500427246094,182.10000610351562,37.6651022,55.6489415
1753962903325000000,22.478,179.89999389648438,0.699999988079071,20.260238647460938,1.656999945640564,0.10294511169195175,300.999267578125,182.8000030517578,37.6651017,55.6489417
1753962904008000000,23.161,179.89999389648438,0.699999988079071,20.26706886291504,1.6710000038146973,0.10416960716247559,238.27516174316406,182.8000030517578,37.6651015,55.6489391
1753962905008000000,24.161,175.8000030517578,0.699999988079071,20.277069091796875,1.684999942779541,0.11062289029359818,226.059326171875,182.8000030517578,37.6651,55.648937
1753962906008000000,25.161,167.5,0.699999988079071,20.28706932067871,1.7000000476837158,0.10837820172309875,187.08009338378906,182.8000030517578,37.6651026,55.6489324
1753962907008000000,26.161,99.80000305175781,0.699999988079071,20.297069549560547,1.7000000476837158,0.12091667205095291,213.91281127929688,182.8000030517578,37.6651032,55.6489274
1753962908008000000,27.161,85.69999694824219,0.800000011920929,20.30706787109375,1.7000000476837158,0.14443860948085785,229.90713500976562,182.8000030517578,37.6651031,55.6489225
1753962908544000000,27.697,85.69999694824219,0.800000011920929,6.4659199714660645,1.7000000476837158,0.14463186264038086,229.9974822998047,182.8000030517578,37.665103,55.6489218
1753962909008000000,28.161,83,0.8999999761581421,6.470560073852539,1.7000000476837158,0.17479193210601807,238.8426055908203,182.8000030517578,37.6650993,55.6489191
1753962910008000000,29.161,94.4000015258789,2,6.480559825897217,1.7139999866485596,0.2664125859737396,259.6847839355469,182.8000030517578,37.6650827,55.648917
