2025-07-31T11:30:21.173988,55.610391,37.685981
2025-07-31T11:30:22.164273,55.610462,37.685944
2025-07-31T11:30:23.154449,55.610543,37.685904
2025-07-31T11:30:24.154647,55.610630,37.685861
2025-07-31T11:30:25.164464,55.610721,37.685821
2025-07-31T11:30:26.154545,55.610813,37.685781
2025-07-31T11:30:27.154485,55.610911,37.685738
2025-07-31T11:30:28.154566,55.611016,37.685693
2025-07-31T11:30:29.154660,55.611121,37.685647
2025-07-31T11:30:30.164545,55.611227,37.685595
2025-07-31T11:30:31.164385,55.611331,37.685542
2025-07-31T11:30:32.164562,55.611429,37.685494
2025-07-31T11:30:33.174616,55.611527,37.685446
2025-07-31T11:30:34.164448,55.611622,37.685396
2025-07-31T11:30:35.184810,55.611717,37.685344
2025-07-31T11:30:36.164411,55.611814,37.685296
2025-07-31T11:30:37.174841,55.611911,37.685247
2025-07-31T11:30:38.184596,55.612007,37.685200
2025-07-31T11:30:39.184827,55.612104,37.685157
2025-07-31T11:30:40.184454,55.612188,37.685114
2025-07-31T11:30:41.194591,55.612270,37.685075
2025-07-31T11:30:42.184582,55.612350,37.685039
2025-07-31T11:30:43.184591,55.612427,37.685002
2025-07-31T11:30:44.184660,55.612501,37.684962
2025-07-31T11:30:45.184456,55.612570,37.684923
2025-07-31T11:30:46.184318,55.612633,37.684889
2025-07-31T11:30:47.184626,55.612692,37.684864
2025-07-31T11:30:48.184476,55.612741,37.684842
2025-07-31T11:30:49.174424,55.612777,37.684824
2025-07-31T11:30:50.174361,55.612799,37.684811
2025-07-31T11:30:51.174123,55.612811,37.684804
2025-07-31T11:30:52.174434,55.612816,37.684804
2025-07-31T11:30:53.174934,55.612814,37.684810
2025-07-31T11:30:54.174621,55.612814,37.684810
2025-07-31T11:30:55.185199,55.612814,37.684810
2025-07-31T11:30:56.204500,55.612814,37.684810
2025-07-31T11:30:57.194635,55.612813,37.684811
2025-07-31T11:30:58.184334,55.612809,37.684814
2025-07-31T11:30:59.194510,55.612809,37.684814
2025-07-31T11:31:00.185293,55.612809,37.684814
2025-07-31T11:31:01.184422,55.612809,37.684814
2025-07-31T11:31:02.194270,55.612809,37.684815
2025-07-31T11:31:03.184633,55.612810,37.684815
2025-07-31T11:31:04.174318,55.612810,37.684816
2025-07-31T11:31:05.184466,55.612810,37.684816
2025-07-31T11:31:06.174453,55.612810,37.684816
2025-07-31T11:31:07.174098,55.612809,37.684818
2025-07-31T11:31:08.184369,55.612808,37.684819
2025-07-31T11:31:09.184534,55.612808,37.684822
2025-07-31T11:31:10.184664,55.612808,37.684822
2025-07-31T11:31:11.174489,55.612809,37.684821
2025-07-31T11:31:12.184524,55.612809,37.684821
2025-07-31T11:31:13.184637,55.612808,37.684820
2025-07-31T11:31:14.184327,55.612808,37.684820
2025-07-31T11:31:15.184539,55.612807,37.684820
2025-07-31T11:31:16.174329,55.612807,37.684820
2025-07-31T11:31:17.174798,55.612807,37.684820
2025-07-31T11:31:18.184878,55.612807,37.684820
2025-07-31T11:31:19.174742,55.612806,37.684820
2025-07-31T11:31:20.174212,55.612805,37.684821
2025-07-31T11:31:21.184424,55.612804,37.684821
2025-07-31T11:31:22.184354,55.612804,37.684821
2025-07-31T11:31:23.174798,55.612804,37.684821
2025-07-31T11:31:24.184610,55.612804,37.684821
2025-07-31T11:31:25.174673,55.612804,37.684821
2025-07-31T11:31:26.174324,55.612804,37.684821
2025-07-31T11:31:27.164645,55.612803,37.684821
2025-07-31T11:31:28.164153,55.612803,37.684821
2025-07-31T11:31:29.184437,55.612803,37.684821
2025-07-31T11:31:30.164393,55.612803,37.684821
2025-07-31T11:31:31.174507,55.612803,37.684821
2025-07-31T11:31:32.194497,55.612803,37.684821
2025-07-31T11:31:33.184831,55.612803,37.684821
2025-07-31T11:31:34.174595,55.612802,37.684821
2025-07-31T11:31:35.174536,55.612802,37.684821
2025-07-31T11:31:36.174283,55.612802,37.684821
2025-07-31T11:31:37.184466,55.612802,37.684821
2025-07-31T11:31:38.174647,55.612802,37.684821
2025-07-31T11:31:39.184530,55.612801,37.684821
2025-07-31T11:31:40.184350,55.612801,37.684821
2025-07-31T11:31:41.194296,55.612800,37.684821
2025-07-31T11:31:42.184171,55.612800,37.684821
2025-07-31T11:31:43.184379,55.612800,37.684821
2025-07-31T11:31:44.184856,55.612800,37.684820
2025-07-31T11:31:45.194374,55.612799,37.684817
2025-07-31T11:31:46.184163,55.612799,37.684817
2025-07-31T11:31:47.194577,55.612798,37.684816
2025-07-31T11:31:48.194401,55.612796,37.684814
2025-07-31T11:31:49.183951,55.612796,37.684813
2025-07-31T11:31:50.184381,55.612796,37.684813
2025-07-31T11:31:51.184335,55.612796,37.684813
2025-07-31T11:31:52.195075,55.612796,37.684813
2025-07-31T11:31:53.184750,55.612796,37.684810
2025-07-31T11:31:54.184243,55.612805,37.684800
2025-07-31T11:31:55.184330,55.612832,37.684786
2025-07-31T11:31:56.184462,55.612866,37.684762
2025-07-31T11:31:57.174125,55.612898,37.684748
2025-07-31T11:31:58.174209,55.612934,37.684731
2025-07-31T11:31:59.194406,55.612971,37.684700
2025-07-31T11:32:00.174607,55.612985,37.684635
2025-07-31T11:32:01.184371,55.612981,37.684529
2025-07-31T11:32:02.183615,55.612970,37.684416
2025-07-31T11:32:03.183950,55.612950,37.684301
2025-07-31T11:32:04.174342,55.612928,37.684170
2025-07-31T11:32:05.174238,55.612902,37.684028
2025-07-31T11:32:06.174574,55.612876,37.683875
2025-07-31T11:32:07.174176,55.612848,37.683715
2025-07-31T11:32:08.174208,55.612813,37.683550
2025-07-31T11:32:09.174106,55.612774,37.683382
2025-07-31T11:32:10.174225,55.612738,37.683207
2025-07-31T11:32:11.164004,55.612706,37.683014
2025-07-31T11:32:12.164190,55.612674,37.682820
2025-07-31T11:32:13.164110,55.612643,37.682628
2025-07-31T11:32:14.164142,55.612613,37.682441
2025-07-31T11:32:15.164173,55.612583,37.682267
2025-07-31T11:32:16.164167,55.612558,37.682108
2025-07-31T11:32:17.164362,55.612536,37.681952
2025-07-31T11:32:18.154294,55.612511,37.681808
2025-07-31T11:32:19.164241,55.612487,37.681680
2025-07-31T11:32:20.164436,55.612468,37.681569
2025-07-31T11:32:21.174355,55.612453,37.681488
2025-07-31T11:32:22.164198,55.612443,37.681434
2025-07-31T11:32:23.174077,55.612438,37.681375
2025-07-31T11:32:24.174254,55.612429,37.681319
2025-07-31T11:32:25.184119,55.612416,37.681255
2025-07-31T11:32:26.174299,55.612400,37.681171
2025-07-31T11:32:27.184520,55.612381,37.681067
2025-07-31T11:32:28.174316,55.612358,37.680950
2025-07-31T11:32:29.174480,55.612334,37.680811
2025-07-31T11:32:30.174246,55.612308,37.680665
2025-07-31T11:32:31.174141,55.612283,37.680513
2025-07-31T11:32:32.184187,55.612258,37.680357
2025-07-31T11:32:33.173985,55.612231,37.680204
2025-07-31T11:32:34.184504,55.612206,37.680055
2025-07-31T11:32:35.174467,55.612181,37.679916
2025-07-31T11:32:36.174084,55.612155,37.679778
2025-07-31T11:32:37.194026,55.612129,37.679637
2025-07-31T11:32:38.174053,55.612104,37.679492
2025-07-31T11:32:39.174004,55.612078,37.679340
2025-07-31T11:32:40.174125,55.612054,37.679191
2025-07-31T11:32:41.174036,55.612028,37.679049
2025-07-31T11:32:42.164008,55.612004,37.678912
2025-07-31T11:32:43.164389,55.611981,37.678779
2025-07-31T11:32:44.164146,55.611960,37.678648
2025-07-31T11:32:45.174110,55.611939,37.678529
2025-07-31T11:32:46.174042,55.611919,37.678426
2025-07-31T11:32:47.163489,55.611902,37.678342
2025-07-31T11:32:48.164161,55.611891,37.678284
2025-07-31T11:32:49.174138,55.611887,37.678257
2025-07-31T11:32:50.164199,55.611885,37.678247
2025-07-31T11:32:51.164117,55.611884,37.678242
2025-07-31T11:32:52.163978,55.611884,37.678241
2025-07-31T11:32:53.164037,55.611884,37.678241
2025-07-31T11:32:54.154374,55.611884,37.678240
2025-07-31T11:32:55.164636,55.611884,37.678240
2025-07-31T11:32:56.164160,55.611884,37.678240
2025-07-31T11:32:57.164419,55.611884,37.678240
2025-07-31T11:32:58.164501,55.611884,37.678240
2025-07-31T11:32:59.164273,55.611884,37.678240
